0,617,3.02
1000,603,2.95
2000,604,2.95
3002,602,2.94
4002,603,2.95
5003,605,2.96
6003,605,2.96
7005,605,2.96
8005,605,2.96
9006,605,2.96
10007,605,2.96
11008,605,2.96
12008,608,2.97
13009,606,2.96
14010,607,2.97
15010,608,2.97
16012,604,2.95
17012,604,2.95
18013,604,2.95
19014,603,2.95
20015,603,2.95
21015,605,2.96
22017,610,2.98
23017,613,3
24017,614,3
25019,615,3.01
26019,615,3.01
27020,615,3.01
28021,615,3.01
29022,614,3
30022,614,3
31024,615,3.01
32024,615,3.01
33025,615,3.01
34026,615,3.01
35026,616,3.01
36027,616,3.01
37028,616,3.01
38029,616,3.01
39029,616,3.01
40031,616,3.01
41031,616,3.01
42032,616,3.01
43033,616,3.01
44034,616,3.01
45034,615,3.01
46035,615,3.01
47036,615,3.01
48036,615,3.01
49038,615,3.01
50038,615,3.01
51039,615,3.01
52040,615,3.01
53041,615,3.01
54041,615,3.01
55043,615,3.01
56043,615,3.01
57043,614,3
58045,615,3.01
59045,614,3
60046,614,3
61047,614,3
62048,614,3
63048,614,3
64050,614,3
65050,614,3
66051,613,3
67052,613,3
68052,614,3
69053,614,3
70054,613,3
71055,613,3
72055,614,3
73057,614,3
74057,612,2.99
75058,613,3
76059,613,3
77060,612,2.99
78060,613,3
79062,614,3
80062,614,3
81062,613,3
82064,613,3
83064,613,3
84065,613,3
85066,613,3
86067,614,3
87067,614,3
88069,614,3
89069,614,3
90070,614,3
91071,613,3
92071,613,3
93072,612,2.99